iter	Passed	Remaining
410	4611	6608
411	4622	6597
412	4634	6587
413	4661	6598
414	4675	6590
415	4687	6580
416	4700	6571
417	4712	6561
418	4724	6550
419	4736	6540
420	4748	6530
421	4760	6520
422	4772	6509
423	4782	6497
424	4793	6485
425	4804	6474
426	4815	6462
427	4826	6450
428	4838	6440
429	4849	6428
430	4860	6417
431	4871	6405
432	4882	6393
433	4893	6382
434	4904	6370
435	4915	6359
436	4927	6347
437	4938	6336
438	4949	6324
439	4959	6312
440	4971	6301
441	4982	6290
442	4993	6278
443	5005	6267
444	5018	6258
445	5029	6247
446	5041	6237
447	5052	6225
448	5064	6214
449	5076	6204
450	5087	6193
451	5099	6182
452	5110	6170
453	5121	6159
454	5133	6148
455	5144	6137
456	5155	6125
457	5167	6114
458	5178	6103
459	5190	6093
460	5202	6082
461	5214	6072
462	5225	6060
463	5236	6049
464	5249	6039
465	5260	6028
466	5271	6017
467	5283	6006
468	5295	5995
469	5306	5984
470	5318	5972
471	5329	5961
472	5340	5950
473	5352	5939
474	5363	5927
475	5374	5916
476	5386	5905
477	5398	5895
478	5410	5884
479	5421	5873
480	5434	5863
481	5445	5852
482	5457	5841
483	5468	5829
484	5479	5818
485	5491	5808
486	5503	5797
487	5514	5786
488	5526	5775
489	5538	5764
490	5549	5752
491	5560	5741
492	5571	5730
493	5583	5718
494	5594	5707
495	5606	5696
496	5617	5685
497	5629	5675
498	5641	5663
499	5652	5652
500	5663	5641
501	5675	5630
502	5686	5619
503	5698	5607
504	5709	5596
505	5721	5585
506	5732	5574
507	5745	5564
508	5756	5553
509	5768	5542
510	5780	5531
511	5791	5520
512	5802	5508
513	5814	5497
514	5826	5487
515	5838	5476
516	5849	5465
517	5861	5453
518	5872	5442
519	5884	5431
520	5895	5420
521	5907	5409
522	5919	5398
523	5930	5386
524	5941	5376
525	5953	5364
526	5964	5353
527	5975	5342
528	5987	5330
529	5998	5319
530	6010	5308
531	6022	5297
532	6033	5286
533	6045	5275
534	6056	5263
535	6068	5252
536	6079	5241
537	6090	5230
538	6102	5219
539	6113	5207
540	6125	5196
541	6136	5185
542	6148	5174
543	6159	5163
544	6172	5153
545	6185	5142
546	6196	5131
547	6208	5120
548	6220	5110
549	6232	5099
550	6243	5087
551	6255	5077
552	6268	5066
553	6279	5055
554	6291	5044
555	6302	5033
556	6314	5022
557	6325	5010
558	6337	4999
559	6349	4988
560	6361	4977
561	6372	4966
562	6384	4955
563	6396	4944
564	6407	4932
565	6419	4922
566	6431	4911
567	6442	4900
568	6453	4888
569	6465	4877
570	6476	4866
571	6487	4854
572	6500	4843
573	6512	4833
574	6523	4821
575	6535	4810
576	6546	4799
577	6557	4787
578	6569	4776
579	6582	4766
580	6593	4755
581	6604	4743
582	6616	4732
